time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-01-08T19:02:35.750Z,-59.7968,-26.2013,42.45,4.7,mb,,123,7.868,0.67,us,us2000j8cb,2019-03-19T21:51:08.040Z,"86km SSE of Bristol Island, South Sandwich Islands",earthquake,15,8.1,0.13,19,reviewed,us,us
2019-01-08T18:53:36.460Z,-18.087,-174.6083,10,4.9,mb,,95,4.547,1.11,us,us2000j8cj,2019-04-02T20:53:17.040Z,"90km NW of Neiafu, Tonga",earthquake,9.6,1.7,0.069,67,reviewed,us,us
2019-01-08T17:27:33.140Z,39.4328,72.5644,10,4.5,mb,,50,0.59,1.46,us,us2000j1fh,2019-04-02T20:51:26.040Z,"67km WSW of Sary-Tash, Kyrgyzstan",earthquake,2.7,1.9,0.127,22,reviewed,us,us
2019-01-08T16:25:29.800Z,28.9962,142.448,10,4.5,mb,,149,1.907,0.31,us,us2000j8c7,2019-04-02T20:53:16.040Z,"213km N of Chichi-shima, Japan",earthquake,10.4,1.9,0.131,17,reviewed,us,us
2019-01-08T16:18:02.150Z,-19.4492,169.8067,16.51,4.6,mb,,101,4.087,0.54,us,us2000j8c6,2019-04-02T20:53:16.040Z,"57km E of Isangel, Vanuatu",earthquake,10.7,5.6,0.165,13,reviewed,us,us
2019-01-08T15:09:42.260Z,-8.066,130.6604,27.08,4.7,mb,,87,0.637,0.78,us,us2000j1ec,2019-04-02T20:51:25.040Z,"73km W of Saumlaki, Indonesia",earthquake,6.4,6.8,0.167,11,reviewed,us,us
2019-01-08T14:49:01.870Z,-17.6716,-174.2895,10,5.2,mb,,56,4.371,1.25,us,us2000j1e2,2019-04-02T20:51:25.040Z,"113km NNW of Neiafu, Tonga",earthquake,9.3,1.8,0.081,50,reviewed,us,us
2019-01-08T14:29:30.360Z,19.0656,121.041,36.74,4.6,mb,,59,3.733,0.81,us,us2000j8c0,2019-04-02T20:53:14.040Z,"50km N of Claveria, Philippines",earthquake,7.8,7.1,0.072,58,reviewed,us,us
2019-01-08T14:14:50.300Z,-17.5406,-174.7662,10,4.6,mb,,71,4.617,0.82,us,us2000j8cc,2019-04-02T20:53:16.040Z,"148km NW of Neiafu, Tonga",earthquake,9.9,1.9,0.104,28,reviewed,us,us
2019-01-08T12:39:30.950Z,30.5872,131.0441,35,6.3,mww,,26,2.534,0.83,us,us2000j1d4,2019-04-02T20:51:24.040Z,"16km SSE of Nishinoomote, Japan",earthquake,6,1.8,0.051,37,reviewed,us,us
2019-01-08T12:16:44.640Z,23.1861,121.6463,22.57,4.9,mww,,47,0.381,0.9,us,us2000j1cx,2019-04-02T20:51:24.040Z,"69km NE of Taitung City, Taiwan",earthquake,5.3,4,0.083,14,reviewed,us,us
2019-01-08T11:05:16.040Z,-10.5313,108.4765,10,4.7,mb,,115,2.778,1.22,us,us2000j1ch,2019-04-02T20:51:23.040Z,"300km S of Citotok, Indonesia",earthquake,3.9,1.9,0.099,31,reviewed,us,us
2019-01-08T10:52:27.350Z,-11.2247,-13.7369,10,4.6,mb,,88,2.422,1.37,us,us2000j8c4,2019-04-02T20:53:15.040Z,"Ascension Island region",earthquake,9.7,1.8,0.146,14,reviewed,us,us
2019-01-08T10:00:10.050Z,-4.6078,-74.0062,10,5.2,mww,,33,3.36,0.84,us,us2000j1c8,2019-04-02T20:51:22.040Z,"54km W of Saquena, Peru",earthquake,6.4,1.7,0.055,32,reviewed,us,us
2019-01-08T09:54:47.990Z,-7.8778,106.5655,35,5.2,mb,,46,1.476,1.11,us,us2000j1c6,2019-08-24T07:38:31.548Z,"53km SSW of Rancaerang, Indonesia",earthquake,3,1.9,0.053,117,reviewed,us,us
2019-01-08T09:10:27.300Z,54.5665,162.6045,10,4.5,mb,,140,2.809,0.92,us,us2000j1by,2019-04-02T20:51:20.040Z,"185km S of Ust'-Kamchatsk Staryy, Russia",earthquake,8.9,1.9,0.047,131,reviewed,us,us
2019-01-08T06:14:55.180Z,-19.1748,-177.5515,547.76,4.5,mb,,162,4.407,0.61,us,us2000j8bn,2019-04-02T20:53:12.040Z,"202km NE of Ndoi Island, Fiji",earthquake,19.3,14.7,0.124,19,reviewed,us,us
